Account ID,Account Kit Type,Payment Plan Deposit,Payment Plan Daily Rate,Payment Plan Loan Duration,Payment Plan Total Loan Value,first_transaction_date,last_transaction_date,account_lifetime_days,final_status,Value of Transaction_count,Value of Transaction_mean,Value of Transaction_std,Value of Transaction_sum,Value of Transaction_min,Value of Transaction_max,Number of Days Purchased_mean,Number of Days Purchased_sum,avg_days_between_payments,loan_paid_percentage,Cancellation,Commission,Deposit,General Discount,Incentive,Initialization,Payment,Payoff,Redemption,Upgrade,early_payment_count,early_payment_amount,early_days_purchased,payment_frequency,avg_payment_size,payment_to_loan_ratio,days_purchased_ratio,payment_amount_cv,repayment_pace,loan_completed,loan_cancelled,time_to_payoff
0.00E+00,Home Comfort Kit [MTN],60000,1400,540,816000,2013-08-25 15:23:38,2015-06-02 15:15:10,645,Payment,87.0,3548.8505747126437,3228.263420164253,308750.0,1000.0,10000.0,3.045977011494253,265.0,1.0,37.189655172413794,2,1,2,5,0,2,87,0,2,0,3.0,25700.0,17.0,0.13488372093023257,3548.8505747126437,0.3783700980392157,0.4108527131782946,0.9096645102972956,0.057658380112269446,0,0,645
000560663f,Home Starter Kit [MTN],40000,1000,540,580000,2013-08-18 15:07:57,2014-12-09 12:04:59,477,Payoff,106.0,4915.094339622641,5650.314655424155,521000.0,1000.0,57000.0,4.226415094339623,448.0,3.895238095238095,96.72413793103448,0,1,1,1,2,1,106,1,14,0,3.0,35000.0,35.0,0.2222222222222222,4915.094339622641,0.8982758620689655,0.939203354297694,1.1495841717369681,0.20277597050531337,1,0,477
0018cf836a,Home Starter Kit [MTN],40000,1000,540,580000,2013-08-03 09:17:11,2015-05-04 09:41:04,639,Payment,31.0,16935.483870967742,9161.278964100182,525000.0,3000.0,30000.0,15.870967741935484,492.0,20.433333333333334,97.41379310344827,0,1,1,2,0,1,31,0,0,0,1.0,30000.0,30.0,0.048513302034428794,16935.483870967742,0.9051724137931034,0.7699530516431925,0.5409517102611536,0.1524472505531272,0,0,639
001b6d4d31,Home Plus Kit [MTN],60000,1100,540,654000,2013-11-29 11:47:29,2015-05-28 12:05:41,545,Payoff,68.0,8779.411764705883,30977.192181824845,597000.0,1100.0,255000.0,3.926470588235294,267.0,7.492537313432836,100.45871559633028,0,0,1,3,0,1,68,1,1,0,2.0,25400.0,23.0,0.12477064220183487,8779.411764705883,0.9128440366972477,0.48990825688073397,3.5283903992698313,0.18432791852537667,1,0,545
00202f4fe5,Home Comfort Kit [MTN],85000,1350,540,814000,2013-11-19 15:01:15,2014-11-09 23:05:06,355,Cancellation,3.0,41000.0,866.0254037844386,123000.0,40500.0,42000.0,30.333333333333332,91.0,66.5,25.552825552825553,1,0,1,2,0,1,3,0,0,0,1.0,40500.0,30.0,0.008450704225352112,41000.0,0.1511056511056511,0.2563380281690141,0.021122570824010697,0.07197979028964945,0,1,355
00220b66a3,Home Starter Kit [MTN],40000,1000,540,580000,2013-12-21 15:03:58,2015-04-09 23:05:18,474,Cancellation,12.0,18500.0,9375.984796760868,222000.0,10000.0,30500.0,18.166666666666668,218.0,24.454545454545453,45.17241379310345,1,2,1,2,0,1,12,0,0,0,1.0,30000.0,30.0,0.02531645569620253,18500.0,0.38275862068965516,0.459915611814346,0.5068099890141009,0.09530045104030264,0,1,474
0022b1eeff,Business Starter Kit Intro [MTN],50000,1200,540,698000,2013-03-10 09:27:21,2014-05-16 00:05:49,431,Cancellation,34.0,7066.176470588235,4298.144782807467,240250.0,5000.0,20000.0,5.676470588235294,193.0,6.909090909090909,41.58309455587392,1,0,1,1,0,1,34,0,0,0,2.0,35550.0,29.0,0.07888631090487239,7066.176470588235,0.3441977077363897,0.44779582366589327,0.6082702294087571,0.09648049780945225,0,1,431
002fb226de,Home Comfort Kit [MTN],60000,1400,540,816000,2013-08-16 12:58:17,2014-11-27 09:41:40,467,Payoff,17.0,43029.41176470588,25153.92028854256,731500.0,9100.0,100800.0,30.352941176470587,516.0,28.25,96.99754901960785,0,0,1,2,2,1,17,1,0,0,2.0,71400.0,51.0,0.03640256959314775,43029.41176470588,0.8964460784313726,1.1049250535331905,0.5845750442996903,0.20770353109123735,1,0,467
0039ca4225,Home Comfort Kit [MTN],60000,1400,540,816000,2013-09-14 12:54:36,2015-05-13 15:41:41,606,Payoff,77.0,9784.415584415585,4538.115332644765,753400.0,500.0,29000.0,6.636363636363637,511.0,7.473684210526316,99.68137254901961,0,0,1,3,1,1,77,1,11,0,3.0,39200.0,28.0,0.12706270627062707,9784.415584415585,0.9232843137254902,0.8432343234323433,0.46381056625119044,0.1644907137772601,1,0,606
005c6e9fbc,Home Comfort Kit [MTN],85000,1350,540,814000,2013-12-02 13:43:56,2015-05-30 17:07:27,544,Payoff,29.0,23175.862068965518,13720.56993746495,672100.0,600.0,42000.0,16.79310344827586,487.0,18.75,93.00982800982801,0,0,1,4,1,1,29,1,1,0,3.0,34000.0,24.0,0.05330882352941176,23175.862068965518,0.8256756756756757,0.8952205882352942,0.5920198306598475,0.17097394854747797,1,0,544
005e640587,Home Comfort Kit [MTN],60000,1400,540,816000,2013-08-27 15:50:23,2014-07-22 12:09:21,328,Cancellation,3.0,26666.666666666668,28867.513459481288,80000.0,10000.0,60000.0,4.666666666666667,14.0,6.5,9.803921568627452,2,1,0,1,0,1,3,0,0,0,3.0,80000.0,14.0,0.009146341463414634,26666.666666666668,0.09803921568627451,0.042682926829268296,1.0825317547305482,0.029890004782400767,0,1,328
00782ae4b8,Home Starter Kit [MTN],40000,1000,540,580000,2013-09-28 14:39:25,2014-07-16 23:05:11,291,Cancellation,11.0,7454.545454545455,7594.256202731593,82000.0,4000.0,30000.0,7.454545454545454,82.0,9.5,21.03448275862069,1,0,1,1,0,1,11,0,0,0,1.0,30000.0,30.0,0.037800687285223365,7454.545454545455,0.1413793103448276,0.281786941580756,1.0187416857322869,0.07228344590591303,0,1,291
009dc3947d,Home Starter Kit [MTN],40000,1000,540,580000,2013-09-15 06:11:43,2015-05-30 15:58:45,622,Payment,115.0,5130.434782608696,1536.2390800458963,590000.0,2000.0,15000.0,5.130434782608695,590.0,4.956140350877193,117.24137931034481,0,1,1,3,1,1,115,0,0,0,3.0,35000.0,35.0,0.18488745980707397,5130.434782608696,1.0172413793103448,0.9485530546623794,0.2994364308564035,0.18849096352145467,0,0,622
00b9a40faf,Home Starter Kit [MTN],40000,1000,540,580000,2013-12-13 16:11:52,2015-06-01 17:19:31,535,Payment,85.0,3941.176470588235,3189.8385582990263,335000.0,1000.0,30000.0,3.9411764705882355,335.0,5.773809523809524,64.65517241379311,0,1,1,3,0,1,85,0,0,0,3.0,14000.0,14.0,0.1588785046728972,3941.176470588235,0.5775862068965517,0.6261682242990654,0.8093620222549769,0.1208507895584918,0,0,535
00c01313ee,Home Comfort Kit [MTN],85000,1350,540,814000,2013-10-23 11:33:31,2015-05-06 16:13:07,560,Payment,14.0,43428.57142857143,3529.3121080522133,608000.0,40000.0,50000.0,29.857142857142858,418.0,41.92307692307692,85.13513513513513,0,0,1,3,2,1,14,0,1,0,1.0,40500.0,30.0,0.025,43428.57142857143,0.7469287469287469,0.7464285714285714,0.08126705511962333,0.15202702702702703,0,0,560
00c575f97f,Home Comfort Kit Intro [MTN],60000,1400,540,816000,2013-03-24 12:31:42,2014-09-14 09:18:02,538,Payoff,5.0,151200.0,80998.91974588303,756000.0,42000.0,246500.0,59.8,299.0,119.25,100.0,0,0,1,2,0,1,5,1,2,0,0.0,0.0,0.0,0.00929368029739777,151200.0,0.9264705882352942,0.5557620817843866,0.5357071411764751,0.18587360594795538,1,0,538
00ca720bc8,Home Comfort Kit [MTN],85000,1350,540,814000,2013-12-05 06:12:57,2013-12-20 08:17:57,15,Payoff,1.0,210000.0,0.0,210000.0,210000.0,210000.0,0.0,0.0,0.0,87.22358722358723,0,0,1,0,0,1,1,1,1,0,1.0,210000.0,0.0,0.06666666666666667,210000.0,0.257985257985258,0.0,0.0,5.814905814905815,1,0,15
